make,description,model,type,DEPT,CATEGORY,SIZE,PACK_QTY,COST,PRICE,available,vendor,REORDER_NO,MIN_ORDER
METRA,HARNES MAZDA,707903,STANDARD,INSTALL,,,1,7,17.99,0,SANTAFE,,
SONY,SONY GS 4CH AMP,XMGS4,STANDARD,AMP,,,1,120,249.99,0,SONY,,
METRA,HARNES SUZUKI,707991,STANDARD,INSTALL,,,1,8,17.99,2,SANTAFE,,
METRA,HARNES SUZUKI,707992,STANDARD,INSTALL,,,1,7,17.99,0,SANTAFE,,
METRA,TOYOTA LEX AMP HARN,708113,STANDARD,INSTALL,,,1,8,29.99,-1,SANTAFE,,
METRA,HARNES GM /SUZUKI,708405,STANDARD,INSTALL,,,1,7,15.99,1,SANTAFE,,
METRA,HARNES BMW,708591,STANDARD,INSTALL,,,1,12,29.99,0,SANTAFE,,
ORION,ORION 1500 WATT AMP 2 CH,ZO15002,STANDARD,AMP,,,1,60,149.99,0,WHOLESALE HOUSE,,
METRA,CADILLAC XLR 04-09 KIT&HARNESS,993030B,STANDARD,INSTALL,,,1,211.75,399.99,0,METRA,,
INTERSTATE,INTERSTATE BATTERY,M24F,STANDARD,BATTERY,,,1,84.35,129.95,0,INTERSTATE,,
INTERSTATE,INTERSTATE BATTERY,M75,STANDARD,BATTERY,,,1,84.35,124.95,0,INTERSTATE BATTERY,,
INTERSTATE,INTERSTATE BATTERY M-LINE,M96R,STANDARD,BATTERY,,,1,94.79,139.95,1,INTERSTATE,,
METRA,HARNES SUBARO,708900,STANDARD,INSTALL,,,1,7,17.99,1,SANTAFE,,
METRA,HARNES,708901,STANDARD,INSTALL,,,1,7,17.99,0,SANTAFE,,
QPOWER,"10""SIGLE PORTED",1001P,STANDARD,BOXES,,,1,47.93,99.99,1,SANTA FE,,
QPOWER,"10""SINGLE SEALED",1001S,STANDARD,BOXES,,,1,41.93,84.99,1,SANTA FE,,
QPOWER,"10"" TRUCK SEALED",1001T,STANDARD,BOXES,,,1,15.99,32.99,-1,SANTA FE,,
QPOWER,"10"" DUAL CHEVY TRUCK BOX",1002CHEVY,STANDARD,BOXES,,,1,115,229.99,0,SANTA FE,,
QPOWER,"10""DAUL PORTED",1002P,STANDARD,BOXES,,,1,35,99.99,0,SANTA FE,,
QPOWER,"10""DAUL SEALED",1002S,STANDARD,BOXES,,,1,47.95,99.99,1,SANTA FE,,
QPOWER,"10"" EXTENDER",10EXT,STANDARD,BOXES,,,1,2.5,9.99,0,WHOLESALE HOUSE,,
QPOWER,"12""SINGLE PORTED",1201P,STANDARD,BOXES,,,1,32.99,99.99,0,SANTA FE,,
QPOWER,"12"" PREMIUM SINGLE PORTED BOX",1201PP,STANDARD,BOXES,,,1,51.93,109.99,2,SANTA FE,,
QPOWER,"12"" SINGLE PREMIUM BOX",1201PREM,STANDARD,BOXES,,,1,23,59.99,0,SANTA FE,,
QPOWER,"12""SINGLE SEALED",1201S,STANDARD,BOXES,,,1,55.95,84.99,0,SANTA FE,,
QPOWER,"12""TRUCK SINGLE SEALED",1201T,STANDARD,BOXES,,,1,15.99,34.99,2,SANTA FE,,
QPOWER,CAMARO BOX DUAL 12,1202CAMARO,STANDARD,BOXES,,,1,49,209.99,1,SANTA FE,,
QPOWER,"DODGE DUAL 12"" BOX 02-UP",1202DODGE02UP,STANDARD,BOXES,,,1,102.95,219.99,-3,SANTA FE,,
QPOWER,"FORD DUAL 12"" BOX 04-07",1202FORD0407,STANDARD,BOXES,,,1,55,209.99,0,SANTA FE,,
QPOWER,"FORD DUAL 12"" BOX 09-UP",1202FORD09UP,STANDARD,BOXES,,,1,79.99,209.99,-1,SANTA FE,,
QPOWER,"GM DUAL 12"" BOX 99-03",1202GM9903,STANDARD,BOXES,,,1,53,209.99,1,SANTA FE,,
QPOWER,"12""DAUL PORTED",1202P,STANDARD,BOXES,,,1,73.93,179.99,0,SANTA FE,,
QPOWER,"12"" DUAL PREMIUM SUB BOX",1202PREM,STANDARD,BOXES,,,1,32,89.99,0,SANTA FE,,
QPOWER,"12"" RIHNO-LINED PORTED BOX",1202PREMIUM,STANDARD,BOXES,,,1,132.95,269.99,0,SANTA FE,,
QPOWER,"12""DAUL SEALED",1202S,STANDARD,BOXES,,,1,55.93,119.99,0,SANTA FE,,
QPOWER,"CHEVY SILVERADO 2 12"" RHINO BO",1202STRUCKRHINO,STANDARD,BOXES,,,1,91,179.99,-1,SANTA FE,,
QPOWER,"DUAL 12"" SUV BOX",1202SUV,STANDARD,BOXES,,,1,52.99,119.99,0,SANTA FE,,
QPOWER,"12"" DUAL TRUCK BOX",1202T,STANDARD,BOXES,,,1,27,89.99,0,SANTA FE,,
QPOWER,"15""SINGLE PORTED",1501P,STANDARD,BOXES,,,1,63.93,129.99,0,SANTA FE,,
QPOWER,"15""SINGLE SEALED",1501S,STANDARD,BOXES,,,1,35.99,74.99,0,SANTA FE,,
QPOWER,"15""DAUL PORTED",1502P,STANDARD,BOXES,,,1,99.93,249.99,-2,SANTA FE,,
QPOWER,"Q BOMB 7.5QF DUAL 15"" BOX",1502PB,STANDARD,BOXES,,,1,174.99,349.99,-1,SANTA FE,,
QPOWER,"15""DAUL SEALED",1502S,STANDARD,BOXES,,,1,43.99,99.99,-1,SANTA FE,,
QPOWER,"15""TRUCK DAUL",1502T,STANDARD,BOXES,,,1,20,79.99,0,SANTA FE,,
QPOWER,6X9 BOX SINGLE,6X9B,STANDARD,BOXES,,,1,10,34.99,2,SANTAFE,,
QPOWER,"8""TRUCK SEALED",801TS,STANDARD,BOXES,,,1,12,30,0,SANTAFE,,
QPOWER,"8""TRUCK SEALED",802S,STANDARD,BOXES,,,1,20,59.99,0,SANTAFE,,
QPOWER,"GMC 12"" DUAL TRUCK BOX",GMC122004,STANDARD,BOXES,,,1,54.99,129.99,1,SANTA FE,,
METRA,CAMARO 97-02 DDIN KIT,993311B,STANDARD,INSTALL,,,1,45,89.99,1,METRA,,
SONY,SONY MARINE POWERED AMP CD PLA,MEXM100BT,STANDARD,CAP,,,1,160,279.99,1,SONY,,
PIONEER,PIONEER CD USB BLUETOOTH,DEHS4120BT,STANDARD,CD,,,1,72,99.99,0,PIONEER,,
PIONEER,PIONEER CD USB BLUETOOTH,DEHS4220BT,STANDARD,CD,,,1,96,149.99,1,PIONEER,,
PIONEER,PIONEER CD USB BLUETOOTH,DEHS5120BT,STANDARD,CD,,,1,80,99.99,0,PIONEER,,
PIONEER,PIONEER BLUETOOTH CD,DEHX3910BT,STANDARD,CD,,,1,72,89.99,0,PIONEER,,
METRA,AUDI BMW,709003,STANDARD,INSTALL,,,1,5,17.99,1,SANTAFE,,
SONY,SONY BT/USB/AUX MEDIA PLAYER,DSXA415BT,STANDARD,CD,,,1,0,99.99,0,WALMART,,
PIONEER,PIONEER DDIN BLUETOOTH CD PLAY,FHS5520BT,STANDARD,CD,,,1,90,129.99,0,PIONEER,,
PIONEER,PIONEER DD CD BLUETOOTH,FHS701BS,STANDARD,CD,,,1,114,139.99,0,CARTOYZ,,
