Model,Item,Make,Description,UPC,MAP,Sheet,MP Qty,MP Weight,MP Length,MP Width,MP Height,Unit Weight,Unit Length,Unit Width,Unit Height
RNGR18STG4,RNGR18-STG4,ROCKFORD,"800 Watt stereo, front speaker, subwoofer and rear speaker kit for  select Ranger models",780687355975,"$2,749.99","$1,790.00", 1 , 64.2 , 28.0 , 18.3 , 30.0 , 64.2 , 28.0 , 18.3 , 30.0 
RNGR18STG5,RNGR18-STG5,ROCKFORD,"1500 watt stereo, front speaker, subwoofer and rear speaker kit for select Ranger models",780687361235,"$2,749.99","$1,790.00", 1 , 68.0 , 28.0 , 19.0 , 25.0 , 68.0 , 28.0 , 19.0 , 25.0 
RNGR18STG6,RNGR18-STG6,ROCKFORD,"PMX-3, front speaker and rear speaker and front subwoofer amplified system 5 channel and M2",780687361259,"$3,299.99","$2,150.00", 1 , 80.0 , 27.8 , 18.3 , 30.0 , 80.0 , 27.8 , 18.3 , 30.0 
RNGR18RCSTG5,RNGR18RC-STG5,ROCKFORD,"1000 watt stereo, front speaker, subwoofer and rear speaker kit for select Ranger models with Ride Command",780687361679,"$2,199.99","$1,430.00", 1 , 34.0 , 22.0 , 18.0 , 31.0 , 34.0 , 22.0 , 18.0 , 31.0 
RNGR18RCSTG6,RNGR18RC-STG6,ROCKFORD,"Ride Command, front speaker and rear speaker and front subwoofer amplified 5 channel and M2",780687361266,"$2,749.99","$1,790.00", 1 , 82.0 , 27.3 , 18.3 , 31.0 , 82.0 , 27.3 , 18.3 , 31.0 
RNGR18DK,RNGR18-DK,ROCKFORD,"Ride Command, front speaker and rear speaker and front subwoofer amplified 5 channel and M2",780687356026,$199.99,$138.00, 10 , 20.0 , 23.0 , 20.0 , 12.0 , 2.0 , 11.5 , 9.5 , 4.5 
RNGR18FSE,RNGR18-FSE,ROCKFORD,"Ride Command, front speaker and rear speaker and front subwoofer amplified 5 channel and M2",780687355906,$359.99,$253.00, 1 , 5.4 , 17.5 , 9.8 , 11.5 , 5.4 , 17.5 , 9.8 , 11.5 
RNGR18FWE,RNGR18-FWE,ROCKFORD,"Ride Command, front speaker and rear speaker and front subwoofer amplified 5 channel and M2",780687355913,$549.99,$385.00, 1 , 18.0 , 17.3 , 17.0 , 14.8 , 18.0 , 17.3 , 17.0 , 14.8 
RNGR18ROOF2M2,RNGR18-ROOF2M2,ROCKFORD,Polaris Ranger 2018+ 2 Seat Overhead Audio Solution,780687355890,"$3,299.99","$2,640.00", 1 , 121.0 , 61.0 , 56.5 , 11.0 , 121.0 , 61.0 , 56.5 , 11.0 
RNGR18ROOF4M2,RNGR18-ROOF4M2,ROCKFORD,Polaris Ranger 2018+ 4 Seat Overhead Audio Solution,780687358808,"$5,499.99","$4,400.00", 1 , 247.0 , 61.0 , 56.0 , 22.0 , 247.0 , 61.0 , 56.0 , 22.0 
RNGR18CAPM2,RNGR18-CAPM2,ROCKFORD,Polaris Ranger 2018+ 4 Speaker Back Cap Add On,780687358815,"$1,649.99","$1,320.00", 1 , 47.0 , 59.5 , 11.5 , 19.8 , 47.0 , 59.5 , 11.5 , 19.8 
RNGR18RSE,RNGR18-RSE,ROCKFORD,"Ride Command, front speaker and rear speaker and front subwoofer amplified 5 channel and M2",780687361228,$359.99,$253.00, 1 , 6.2 , 10.8 , 10.8 , 9.8 , 6.2 , 10.8 , 10.8 , 9.8 
RNGRSTAGE1,RNGR-STAGE1,ROCKFORD,Stereo kit for select Ranger models,780687351885,$549.99,$352.00, 1 , 7.4 , 19.0 , 8.3 , 13.3 , 7.4 , 19.0 , 8.3 , 13.3 
RNGRSTAGE2,RNGR-STAGE2,ROCKFORD,Stereo and front speaker kit for select Ranger models,780687351892,"$1,049.99",$685.00, 1 , 19.8 , 19.3 , 16.3 , 18.0 , 19.8 , 19.3 , 16.3 , 18.0 
RNGRSTAGE3,RNGR-STAGE3,ROCKFORD,"400 watt stereo, front speaker, and subwoofer kit for select Ranger models",780687351908,"$2,299.99","$1,400.00", 1 , 52.0 , 31.0 , 20.0 , 19.0 , 52.0 , 31.0 , 20.0 , 19.0 
RNGRSTAGE4,RNGR-STAGE4,ROCKFORD,"400 watt stereo, front speaker, subwoofer, & rear speaker kit for select Ranger models",780687351977,"$3,099.99","$1,880.00", 1 , 72.4 , 29.5 , 19.5 , 24.8 , 72.4 , 29.5 , 19.5 , 24.8 
RNGRREAR,RNGR-REAR,ROCKFORD,Add on rear speaker kit for RNGR-STAGE2 & RNGR-STAGE3,780687351984,$899.99,$538.00, 1 , 20.0 , 18.3 , 10.0 , 15.3 , 20.0 , 18.3 , 10.0 , 15.3 
RFRNGRPMXDK,RFRNGR-PMXDK,ROCKFORD,"PMX-3, PMX-2 & PMX-0 dash kit for select Ranger models",780687351915,$149.99,$110.00, 3 , 11.8 , 23.8 , 13.0 , 13.5 , 3.9 , 11.2 , 8.0 , 5.0 
RFRNGRFSE,RFRNGR-FSE,ROCKFORD,"6.5"" front speaker enclosures (pair) for select Ranger models",780687351922,$289.99,$226.00, 1 , 5.6 , 18.5 , 10.5 , 9.0 , 5.6 , 18.5 , 10.5 , 9.0 
RFRNGRFWE,RFRNGR-FWE,ROCKFORD,"10"" front subwoofer enclosure for select Ranger models",780687351939,$439.99,$334.00, 1 , 12.8 , 18.0 , 16.8 , 9.8 , 12.8 , 18.0 , 16.8 , 9.8 
RFRNGRK8,RFRNGR-K8,ROCKFORD,Amp kit and mounting plate for select Ranger models,780687351946,$219.99,$159.00, 8 , 37.6 , 20.8 , 12.5 , 14.3 , 4.7 , 13.5 , 6.0 , 5.0 
RFRNGRRSW16,RFRNGR-RSW16,ROCKFORD,Rear speaker harness for select Ranger models,780687351991,$69.99,$52.00, 20 , 44.0 , 17.0 , 14.0 , 15.3 , 2.2 , 7.5 , 7.0 , 3.5 
GNRLSTAGE1,GNRL-STAGE1,ROCKFORD,Stereo kit for select General models,780687352059,$549.99,$352.00, 1 , 5.4 , 11.3 , 8.5 , 9.0 , 5.4 , 11.3 , 8.5 , 9.0 
GNRLSTAGE2,GNRL-STAGE2,ROCKFORD,Stereo and front speaker kit for select General models,780687352066,"$1,049.99",$685.00, 1 , 17.4 , 19.0 , 12.0 , 17.5 , 17.4 , 19.0 , 12.0 , 17.5 
GNRLSTAGE3,GNRL-STAGE3,ROCKFORD,"400 watt stereo, front speaker, and subwoofer kit for select General models",780687352073,"$2,299.99","$1,400.00", 1 , 42.6 , 25.0 , 18.0 , 20.0 , 42.6 , 25.0 , 18.0 , 20.0 
GNRLSTAGE4,GNRL-STAGE4,ROCKFORD,"400 watt stereo, front speaker, subwoofer, & rear speaker kit for select General models",780687352080,"$3,099.99","$1,880.00", 1 , 63.0 , 25.0 , 18.0 , 24.5 , 63.0 , 25.0 , 18.0 , 24.5 
GNRLREAR,GNRL-REAR,ROCKFORD,Add on rear speaker kit for GNRL-STAGE2 & GNRL-STAGE3,780687352349,$899.99,$538.00, 1 , 19.6 , 18.3 , 10.3 , 14.8 , 19.6 , 18.3 , 10.3 , 14.8 
RFGNRLPMXDK,RFGNRL-PMXDK,ROCKFORD,"PMX-3, PMX-2 & PMX-0 dash kit for select General models",780687352004,$149.99,$110.00, 20 , 40.0 , 16.5 , 13.0 , 22.0 , 2.0 , 5.0 , 2.0 , 2.5 
RFGNRLFSE,RFGNRL-FSE,ROCKFORD,"6.5"" front speaker enclosures (pair) for select General models",780687352011,$289.99,$226.00, 1 , 8.8 , 13.3 , 12.3 , 13.5 , 8.8 , 13.3 , 12.3 , 13.5 
RFGNRLFWE,RFGNRL-FWE,ROCKFORD,"10"" front subwoofer enclosure for select General models (includes amp mounting plate)",780687352035,$439.99,$334.00, 1 , 7.8 , 23.5 , 7.8 , 12.0 , 7.8 , 23.5 , 7.8 , 12.0 
RFGNRLK8,RFGNRL-K8,ROCKFORD,Amp kit for select General models,780687352028,$219.99,$159.00, 15 , 41.0 , 18.0 , 13.3 , 11.8 , 2.7 , 7.0 , 6.5 , 3.2 
RFGNRLRSW16,RFGNRL-RSW16,ROCKFORD,Rear speaker harness for select General models,780687352042,$69.99,$52.00, 20 , 44.0 , 17.0 , 14.0 , 15.3 , 2.2 , 5.0 , 2.0 , 2.5 
YXZSTAGE1,YXZ-STAGE1,ROCKFORD,Stereo kit for select YXZ models,780687351816,$509.99,$319.00, 1 , 5.4 , 13.3 , 7.5 , 10.0 , 5.4 , 13.3 , 7.5 , 10.0 
YXZSTAGE2,YXZ-STAGE2,ROCKFORD,Stereo and front lower speaker kit for select YXZ models,780687351823,$849.99,$550.00, 1 , 22.0 , 18.0 , 12.0 , 21.0 , 22.0 , 18.0 , 12.0 , 21.0 
YXZSTAGE3,YXZ-STAGE3,ROCKFORD,"400 watt stereo, front lower speaker, and subwoofer kit for select YXZ models",780687351830,"$1,899.99","$1,210.00", 1 , 54.2 , 26.5 , 19.5 , 20.3 , 54.2 , 26.5 , 19.5 , 20.3 
YXZSTAGE4,YXZ-STAGE4,ROCKFORD,"400 watt stereo, front lower speaker, subwoofer, & rear speaker kit for select YXZ models",780687351847,"$2,549.99","$1,540.00", 1 , 68.0 , 33.5 , 19.5 , 19.5 , 68.0 , 33.5 , 19.5 , 19.5 
MOTOREAR2,MOTO-REAR2,ROCKFORD,Add on rear speaker kit for YXZ-STAGE2 and YXZ-STAGE3,780687351861,$799.99,$447.00, 1 , 14.8 , 18.3 , 10.0 , 13.5 , 14.8 , 18.3 , 10.0 , 13.5 
RFYXZPMXDK,RFYXZ-PMXDK,ROCKFORD,"PMX-3, PMX-2 & PMX-0 dash kit for select YXZ models",780687351694,$149.99,$110.00, 15 , 28.4 , 21.0 , 17.5 , 13.3 , 1.9 , 7.0 , 12.5 , 3.5 
RFYXZFSE,RFYXZ-FSE,ROCKFORD,"6.5"" front lower speaker enclosures (pair) for select YXZ models",780687351700,$289.99,$226.00, 1 , 9.2 , 17.0 , 10.8 , 10.8 , 9.2 , 17.0 , 10.8 , 10.8 
RFYXZFWE,RFYXZ-FWE,ROCKFORD,"10"" front subwoofer enclosure for select YXZ models",780687351717,$439.99,$334.00, 1 , 14.0 , 21.3 , 18.3 , 7.3 , 14.0 , 21.3 , 18.3 , 7.3 
RFYXZK8,RFYXZ-K8,ROCKFORD,Amp kit and mounting plate for select YXZ models,780687351724,$219.99,$159.00, 10 , 32.8 , 21.0 , 15.3 , 12.0 , 3.3 , 10.0 , 11.0 , 3.0 
RFYXZRSW16,RFYXZ-RSW16,ROCKFORD,Rear speaker harness for select YXZ models,780687351748,$69.99,$48.00, 20 , 31.8 , 16.0 , 12.3 , 16.3 , 1.6 , 8.0 , 8.0 , 2.5 
RM110D2B,RM110D2B,ROCKFORD,"Black 10” marine subwoofer
DVC (dual 2Ω), 200 watts RMS, 400 watts peak, grille included",780687344788,$209.99,$113.00, 2 , 21.6 , 16.5 , 13.5 , 13.8 , 10.8 , 13.0 , 13.0 , 8.0 
RM1652B,RM1652B,ROCKFORD,"Black 6.5” marine full range coaxial with integrated grilles
75 watts RMS, 150 watts peak",780687344955,$219.99,$110.00, 6 , 35.8 , 28.0 , 17.3 , 9.0 , 6.0 , 16.5 , 16.5 , 4.5 
M2WL65MB,M2WL-65MB,ROCKFORD,"6.5"" Color Optix moto can speakers, 150W RMS, 600W peak, black & stainless grilles, clamps incl.",780687359614,"$1,199.99",$714.00, 1 , 14.4 , 17.8 , 10.8 , 11.0 , 14.4 , 17.8 , 10.8 , 11.0 
M1WL65MB,M1WL-65MB,ROCKFORD,"Black 6.5"" Color Optix moto can speakers, 75W RMS, 300W peak, clamps incl.",780687359621,$949.99,$580.00, 1 , 13.8 , 17.8 , 11.0 , 11.0 , 13.8 , 17.8 , 11.0 , 11.0 
M0WL65MB,M0WL-65MB,ROCKFORD,"Black 6.5"" moto can speakers, 65W RMS, 250W peak, clamps incl.",780687359638,$749.99,$449.00, 1 , 12.8 , 18.0 , 11.0 , 11.0 , 12.8 , 18.0 , 11.0 , 11.0 
MXRSW16,MX-RSW16,ROCKFORD,Rear Color Optix speaker harness for select UTV applications,780687360283,$139.99,$103.00, 10 , 34.0 , 25.3 , 14.0 , 8.3 , 3.4 , 6.5 , 7.0 , 5.0 
RM1652WMB,RM1652W-MB,ROCKFORD,"Black 6.5” motorsport cage speakers
75 watts RMS, 150 watts peak, H 7.9”x W 7.1”x D 7.1”",780687350659,$729.99,$363.00, 1 , 14.1 , 18.3 , 9.0 , 10.5 , 14.1 , 18.3 , 9.0 , 10.5 
PMCL2B,PM-CL2B,ROCKFORD,"Black motorsport can clamps, fits PM2652W-MB & 
RM1652W-MB",780687345235,$129.99,$77.00, 6 , 5.6 , 10.5 , 10.0 , 5.5 , 0.9 , 10.0 , 5.0 , 5.0 
PMCL3B,PM-CL3B,ROCKFORD,"Black motorsport can clamps for Polaris Ranger® & General®, fits PM2652W-MB & RM1652W-MB.",780687351960,$319.99,$194.00, 6 , 41.0 , 14.0 , 13.0 , 10.5 , 6.8 , 15.8 , 15.8 , 10.2 
MXCAM,MX-CAM,ROCKFORD,"Element ready powersports camera, requires vehicle specific wire harness",780687355463,$79.99,$49.00, 42 , 13.2 , 16.0 , 16.0 , 16.0 , 0.3 , 8.0 , 5.0 , 2.0 
MXCAMRZR14,MX-CAM-RZR14,ROCKFORD,MX-CAM wire harness for select RZR models,780687359706,$79.99,$49.00, 16 , 19.2 , 19.8 , 11.5 , 17.0 , 1.2 , 11.0 , 5.0 , 4.0 
MXCAMX317,MX-CAM-X317,ROCKFORD,MX-CAM wire harness for select X3 models,780687359737,$79.99,$53.00, 16 , 22.0 , 19.8 , 11.3 , 17.5 , 1.4 , 11.0 , 5.0 , 4.0 
MXCAMRNGR18,MX-CAM-RNGR18,ROCKFORD,MX-CAM wire harness for select Ranger models,780687359690,$89.99,$60.00, 16 , 30.2 , 19.8 , 11.5 , 17.0 , 1.9 , 10.5 , 5.0 , 4.0 
PEQ,PEQ,ROCKFORD,"Remote Punch equalization control
for current Power amps and 2007-2012 Punch amps",780687327156,$49.99,$26.00, 20 , 12.4 , 13.3 , 12.0 , 13.8 , 0.6 , 7.5 , 6.0 , 2.5 
PLC2,PLC2,ROCKFORD,"Remote Punch level control
works with current Punch amps",780687342364,$49.99,$26.00, 20 , 12.6 , 13.0 , 12.5 , 13.8 , 0.6 , 10.2 , 7.3 , 2.8 
PLCU,PLC-U,ROCKFORD,Universal Punch level control,780687345723,$79.99,$41.00, 10 , 6.6 , 16.0 , 11.0 , 14.3 , 0.7 , 7.5 , 5.8 , 2.5 
BDSYNC2,BDSYNC2,ROCKFORD,"Cable to strap a pair of select Power series amplifiers together, making one large mono amplifier",780687316143,$39.99,$21.00, 40 , 14.1 , 13.5 , 12.8 , 17.5 , 0.4 , 11.8 , 6.3 , 8.3 
PPB1,PPB1,ROCKFORD,Wired remote bass knob with variable frequency and boost for select 2004-2006 amplifiers,780687317966,$49.99,$26.00, 50 , 23.9 , 13.0 , 10.0 , 11.0 , 0.4 , 8.0 , 3.0 , 2.0 
T1SG10,T1SG-10,ROCKFORD,10” stamped mesh grille insert,780687344733,$44.99,$26.00, 10 , 7.4 , 13.5 , 11.8 , 19.5 , 0.7 , 12.8 , 11.3 , 2.0 
T1SG12,T1SG-12,ROCKFORD,12” stamped mesh grille insert,780687344740,$44.99,$26.00, 10 , 10.2 , 15.8 , 14.3 , 19.5 , 1.0 , 16.0 , 15.0 , 2.0 
P3SG8,P3SG-8,ROCKFORD,8” stamped mesh grille insert,780687340780,$34.99,$21.00, 10 , 5.6 , 11.5 , 9.8 , 12.5 , 0.6 , 11.0 , 10.0 , 11.3 
P3SG10,P3SG-10,ROCKFORD,10” stamped mesh grille insert,780687339951,$34.99,$21.00, 10 , 7.2 , 12.0 , 13.3 , 14.8 , 0.7 , 13.0 , 12.0 , 1.5 
P3SG12,P3SG-12,ROCKFORD,12” stamped mesh grille insert,780687339968,$34.99,$21.00, 10 , 10.2 , 16.0 , 14.0 , 16.8 , 1.0 , 15.0 , 14.0 , 1.8 
P2P3G8,P2P3G-8,ROCKFORD,8” stamped mesh grille insert,780687339944,$34.99,$21.00, 10 , 4.8 , 11.3 , 10.0 , 14.0 , 0.5 , 10.8 , 9.3 , 1.3 
P2P3G10,P2P3G-10,ROCKFORD,10” stamped mesh grille insert,780687339913,$34.99,$21.00, 10 , 7.4 , 13.0 , 12.0 , 16.5 , 0.7 , 13.0 , 11.0 , 1.5 
P2P3G12,P2P3G-12,ROCKFORD,12” stamped mesh grille insert,780687339920,$34.99,$21.00, 10 , 10.8 , 16.0 , 15.0 , 18.0 , 1.1 , 15.0 , 13.5 , 2.0 
P2P3G15,P2P3G-15,ROCKFORD,15” stamped mesh grille insert,780687339937,$44.99,$26.00, 10 , 15.8 , 18.5 , 17.0 , 21.0 , 1.6 , 18.0 , 16.3 , 2.0 
P1G10,P1G-10,ROCKFORD,10” stamped mesh grille insert,780687339876,$34.99,$21.00, 10 , 7.2 , 13.3 , 12.0 , 16.5 , 0.7 , 12.8 , 11.0 , 1.3 
P1G12,P1G-12,ROCKFORD,12” stamped mesh grille insert,780687339883,$34.99,$21.00, 10 , 10.4 , 15.5 , 14.3 , 15.8 , 1.0 , 15.3 , 13.5 , 1.5 
P1G15,P1G-15,ROCKFORD,15” stamped mesh grille insert,780687339890,$44.99,$26.00, 10 , 14.8 , 19.0 , 17.3 , 18.5 , 1.5 , 18.3 , 16.3 , 1.5 
RFBTRCA,RFBTRCA,ROCKFORD,Universal Bluetooth receiver to RCA for wireless streaming,780687345716,$74.99,$48.00, 40 , 11.6 , 12.3 , 14.0 , 27.8 , 0.3 , 7.5 , 5.5 , 2.5 
RFHLC4,RF-HLC4,ROCKFORD,4ch speaker level to RCA output,780687342449,$59.99,$34.00, 20 , 12.2 , 13.3 , 12.3 , 13.8 , 0.6 , 6.0 , 1.9 , 7.7 
RFHLC,RF-HLC,ROCKFORD,2ch speaker level to RCA output,780687340773,$34.99,$17.00, 20 , 11.8 , 17.3 , 14.0 , 14.3 , 0.6 , 7.3 , 6.0 , 2.0 
RFI2SW,RFI2SW,ROCKFORD,Speaker wire to male RCA connectors,780687330477,$14.99,$7.60, 40 , 13.6 , 13.5 , 12.5 , 17.5 , 0.3 , 6.0 , 7.0 , 1.5 
RFIF2SW,RFIF2SW,ROCKFORD,Speaker wire to female RCA connectors,780687342623,$14.99,$7.60, 40 , 10.4 , 13.3 , 12.5 , 17.5 , 0.3 , 7.3 , 6.0 , 1.5 
RFK1,RFK1,ROCKFORD,"Power only amp kit: 17ft 1/0AWG power wire, 3ft 1/0AWG ground wire, 20ft remote wire, ANL/Maxi fuse holder, 
300 amp fuse",780687325473,$439.99,$221.00, 4 , 41.6 , 22.5 , 12.5 , 8.8 , 10.4 , 13.5 , 11.3 , 2.0 
RFK1D,RFK1D,ROCKFORD,"Dual amp complete kit: 17ft 1/0AWG power wire, 4ft 4AWG power wire, 3ft 1/0AWG ground wire, 4ft 4AWG ground wire, 30ft 16AWG spkr wire, (3) 16ft twisted pair RCA’s, (2) 4AWG dist block, 20ft remote wire, ANL/Maxi fuse holder, 300 amp fuse",780687330484,$559.99,$293.00, 2 , 34.6 , 22.8 , 12.3 , 12.5 , 17.3 , 13.5 , 11.0 , 3.0 
RFK4D,RFK4D,ROCKFORD,"Dual amp complete kit: 17ft 4AWG power wire, 6ft 8AWG power wire, 3ft 4AWG ground wire, 6ft 8AWG ground wire, 30ft 16AWG spkr wire, (2) 16ft twisted pair RCA’s, 4AWG distribution block, 20ft remote wire, maxi fuse holder, 60 amp fuse",780687325510,$309.99,$159.00, 4 , 35.0 , 17.8 , 16.3 , 13.3 , 8.8 , 10.0 , 8.0 , 2.5 
RFK4X,RFK4X,ROCKFORD,"Complete amp kit: 17ft 4AWG power wire, 3ft 4AWG ground wire, 30ft 16AWG spkr wire, (1) 16ft twisted pair RCA, 20ft remote wire, maxi fuse holder, 60 amp fuse
",780687325534,$249.99,$134.00, 4 , 25.0 , 23.5 , 13.0 , 8.3 , 6.3 , 10.0 , 7.0 , 4.0 
RFK4I,RFK4I,ROCKFORD,"Power interconnect amp kit: 17ft 4AWG power wire, 3ft 4AWG ground wire, (1) 16ft twisted pair RCA, 20ft remote wire, maxi fuse holder, 60 amp fuse",780687325527,$219.99,$111.00, 8 , 41.2 , 22.5 , 12.5 , 15.8 , 5.2 , 13.5 , 11.0 , 2.0 
RFK4,RFK4,ROCKFORD,"Power only amp kit: 17ft 4AWG power wire, 3ft 4AWG ground wire, 20ft remote wire, maxi fuse holder, 60 amp fuse",780687325503,$189.99,$96.00, 8 , 38.0 , 13.5 , 12.5 , 14.3 , 4.8 , 11.3 , 6.5 , 12.0 
RFK8X,RFK8X,ROCKFORD,"Complete amp kit: 17ft 8AWG power wire, 3 foot 8AWG ground wire, 30ft 16AWG spkr wire, (1) 16ft twisted pair RCA, 20ft remote wire, AGU fuse holder, 40 amp fuse",780687325565,$169.99,$87.00, 8 , 31.2 , 23.5 , 13.3 , 13.3 , 3.9 , 10.0 , 7.3 , 4.5 
RFK8I,RFK8I,ROCKFORD,"Power interconnect amp kit: 17ft 8AWG power wire, 3ft 8AWG ground wire, (1) 16ft twisted pair RCA, 20ft remote wire, AGU fuse holder, 40 amp fuse",780687325558,$139.99,$64.00, 20 , 46.6 , 21.0 , 14.0 , 10.5 , 2.3 , 8.5 , 7.5 , 4.3 
RFK8,RFK8,ROCKFORD,"Power only amp kit: 17ft 8AWG power wire, 3ft 8AWG ground wire, 20ft remote wire, AGU fuse holder, 40 amp fuse",780687325541,$119.99,$57.00, 20 , 40.4 , 13.5 , 12.5 , 14.0 , 2.0 , 10.0 , 4.0 , 6.8 
RFIT3,RFIT-3,ROCKFORD,3 ft premium dual twist signal cable with 6 cut connectors,780687325398,$34.99,$17.00, 40 , 14.0 , 13.8 , 12.5 , 17.8 , 0.4 , 6.0 , 7.0 , 1.5 
RFIT6,RFIT-6,ROCKFORD,6 ft premium dual twist signal cable with 6 cut connectors,780687325404,$34.99,$18.00, 40 , 16.4 , 13.5 , 12.5 , 17.5 , 0.4 , 7.0 , 5.5 , 1.0 
RFIT10,RFIT-10,ROCKFORD,10 ft premium dual twist signal cable with 6 cut connectors,780687325367,$44.99,$22.00, 40 , 20.0 , 13.8 , 12.5 , 17.5 , 0.5 , 11.5 , 8.3 , 6.0 
RFIT16,RFIT-16,ROCKFORD,16 ft premium dual twist signal cable with 6 cut connectors,780687325374,$54.99,$29.00, 20 , 13.8 , 13.5 , 12.5 , 14.0 , 0.7 , 7.0 , 5.5 , 2.0 
RFIT20,RFIT-20,ROCKFORD,20 ft premium dual twist signal cable with 6 cut connectors,780687325381,$59.99,$35.00, 20 , 13.1 , 13.3 , 12.8 , 13.3 , 0.7 , 12.5 , 6.5 , 11.5 
RFITY1M,RFITY-1M,ROCKFORD,Premium Y adapter 1 male to 2 female with 6 cut connectors,780687326982,$19.99,$9.20, 40 , 10.8 , 13.8 , 12.5 , 17.5 , 0.3 , 7.3 , 5.8 , 1.3 
RFITY1F,RFITY-1F,ROCKFORD,Premium Y adapter 1 female to 2 male with 6 cut connectors,780687326999,$19.99,$9.20, 40 , 10.4 , 13.5 , 12.5 , 17.3 , 0.3 , 7.3 , 5.8 , 1.3 
RFI3,RFI-3,ROCKFORD,3 ft twisted pair signal cable,780687325336,$14.99,$6.00, 40 , 10.8 , 14.0 , 13.0 , 18.0 , 0.3 , 6.0 , 7.5 , 1.5 
RFI6,RFI-6,ROCKFORD,6 ft twisted pair signal cable,780687325343,$14.99,$7.60, 40 , 9.8 , 13.5 , 12.5 , 17.5 , 0.3 , 5.0 , 4.0 , 0.5 
RFI10,RFI-10,ROCKFORD,10 ft twisted pair signal cable,780687325305,$19.99,$9.20, 40 , 17.6 , 12.5 , 13.5 , 17.5 , 0.4 , 7.0 , 6.0 , 1.5 
RFI16,RFI-16,ROCKFORD,16 ft twisted pair signal cable,780687325312,$19.99,$10.50, 20 , 12.4 , 14.0 , 13.0 , 14.0 , 0.6 , 7.0 , 6.0 , 2.0 
RFI20,RFI-20,ROCKFORD,20 ft twisted pair signal cable,780687325329,$24.99,$14.00, 20 , 14.2 , 13.5 , 12.5 , 13.8 , 0.7 , 7.3 , 5.8 , 2.3 
RFIY1M,RFIY-1M,ROCKFORD,Twisted pair Y adapter 1 male to 2 female,780687325466,$9.99,$4.70, 40 , 9.4 , 13.5 , 12.5 , 17.5 , 0.2 , 6.0 , 7.0 , 1.5 
RFIY1F,RFIY-1F,ROCKFORD,Twisted pair Y adapter 1 female to 2 male,780687325459,$9.99,$4.70, 40 , 8.1 , 13.5 , 12.5 , 17.5 , 0.2 , 6.0 , 7.0 , 1.5 
RFIS,RFIS,ROCKFORD,"RCA splices two male ends together, 
pack of 2, (1) black, (1) red",780687325350,$9.99,$4.00, 100 , 12.4 , 20.8 , 9.5 , 28.0 , 0.1 , 5.5 , 4.5 , 1.5 
RFDGM,RFDGM,ROCKFORD,"GM battery post extender, platinum finish",780687325121,$9.99,$5.80, 80 , 18.8 , 20.8 , 9.5 , 22.8 , 0.2 , 20.0 , 9.5 , 5.0 
RFDGML,RFDGML,ROCKFORD,"GM battery post extender for double stacked terminals, platinum finish",780687325138,$14.99,$7.50, 80 , 20.2 , 20.5 , 9.5 , 22.8 , 0.3 , 20.0 , 9.5 , 5.0 
RFDB1,RFDB1,ROCKFORD,"Positive/negative battery terminal clamp, platinum finish, (2) 1/0 AWG/ 4 AWG input/output, (2) 8 AWG input/output",780687325107,$54.99,$29.00, 80 , 45.0 , 20.5 , 9.5 , 27.8 , 0.6 , 6.0 , 4.0 , 2.0 
RFDB4,RFDB4,ROCKFORD,"Positive/negative battery terminal clamp, platinum finish (2) 4 AWG/8 AWG input/output",780687325114,$29.99,$15.00, 80 , 30.6 , 20.8 , 9.5 , 22.5 , 0.4 , 6.0 , 4.0 , 2.0 
RFCB100,RFCB100,ROCKFORD,100 amp circuit breaker 1/0 AWG/ 4 AWG inputs,780687325039,$74.99,$40.00, 40 , 29.4 , 12.0 , 13.3 , 28.5 , 0.7 , 7.5 , 6.0 , 2.5 
RFCB140,RFCB140,ROCKFORD,140 amp circuit breaker 1/0 AWG/ 4 AWG inputs,780687325046,$74.99,$40.00, 40 , 29.0 , 13.8 , 12.3 , 27.8 , 0.7 , 5.8 , 4.5 , 1.5 
RFCB200,RFCB200,ROCKFORD,200 amp circuit breaker 1/0 AWG/ 4 AWG inputs,780687325053,$74.99,$40.00, 40 , 29.0 , 21.0 , 9.5 , 23.0 , 0.7 , 5.8 , 4.5 , 1.5 
RFTB4,RFTB4,ROCKFORD,"4 AWG seamed crimp style barrier spade (FORK), platinum finish, 4 pack",780687325596,$9.99,$4.10, 100 , 16.4 , 20.5 , 9.5 , 27.8 , 0.2 , 5.5 , 4.3 , 2.0 
RFFU40,RFFU40,ROCKFORD,"40 amp AGU fuse, 4 Pack, platinum finish",780687325282,$9.99,$5.70, 100 , 17.8 , 20.8 , 9.5 , 28.0 , 0.2 , 11.0 , 4.8 , 3.5 
RFFU60,RFFU60,ROCKFORD,"60 amp AGU fuse, 4 Pack, platinum finish",780687325299,$9.99,$5.70, 100 , 17.4 , 20.5 , 9.5 , 28.0 , 0.2 , 10.0 , 8.0 , 10.5 
RFFM60,RFFM60,ROCKFORD,"60 amp Maxi fuse, 2 Pack, platinum finish",780687325251,$9.99,$4.00, 100 , 13.9 , 21.0 , 9.3 , 28.0 , 0.1 , 5.0 , 4.0 , 2.0 
RFFM80,RFFM80,ROCKFORD,"80 amp Maxi fuse, 2 Pack, platinum finish",780687325268,$9.99,$4.00, 100 , 13.9 , 21.0 , 9.8 , 27.5 , 0.1 , 5.8 , 4.5 , 1.5 
