Model,Item,Make,Description,UPC,MAP,Sheet,MP Qty,MP Weight,MP Length,MP Width,MP Height,Unit Weight,Unit Length,Unit Width,Unit Height
PPS46,PPS4-6,ROCKFORD,"6” PRO 4Ω mid-range, sold individually
100 watts RMS, 200 watts peak, grille included",780687340452,$89.99,$58.00, 6 , 37.0 , 17.5 , 13.8 , 10.5 , 6.2 , 9.6 , 8.1 , 4.3 
PPS48,PPS4-8,ROCKFORD,"8” PRO 4Ω mid-range, sold individually
125 watts RMS, 250 watts peak, grille included",780687340469,$99.99,$63.00, 6 , 48.2 , 22.0 , 16.5 , 12.0 , 8.0 , 11.3 , 10.3 , 5.3 
PPS410,PPS4-10,ROCKFORD,"10” PRO 4Ω mid-range, sold individually
350 watts RMS, 700 watts peak, grille included",780687342197,$249.99,$160.00, 2 , 45.6 , 17.8 , 13.5 , 13.5 , 22.8 , 13.3 , 13.0 , 8.8 
PP4T,PP4-T,ROCKFORD,"1.5” PRO 4Ω tweeter, sold individually
50 watts RMS, 100 watts peak",780687340438,$99.99,$64.00, 6 , 24.6 , 20.3 , 9.3 , 8.0 , 4.1 , 6.5 , 7.0 , 4.5 
PP4NT,PP4-NT,ROCKFORD,"1” PRO 4Ω neo tweeter, sold individually
50 watts RMS, 100 watts peak",780687345358,$149.99,$95.00, 6 , 11.6 , 15.0 , 9.3 , 6.3 , 1.9 , 5.5 , 4.7 , 4.3 
PP4X,PP4-X,ROCKFORD,"4Ω PRO passive crossover, sold individually
for use with PRO mid-range (6, 8 or 10”)",780687342456,$99.99,$64.00, 6 , 7.2 , 13.5 , 9.3 , 8.3 , 1.2 , 7.0 , 6.3 , 2.8 
HD24STG2,HD24-STG2,ROCKFORD,Stage-2 Audio Kit for 2024+ Harley-Davidson,780687367503,"$1,599.99","$1,020.00", 1 , 17.0 , 23.0 , 11.0 , 17.0 , 17.0 , 23.0 , 11.0 , 17.0 
HD24STG3,HD24-STG3,ROCKFORD,Stage-3 Audio Kit for 2024+ Harley-Davidson,780687367510,"$2,449.99","$1,530.00", 1 , 35.0 , 27.0 , 17.0 , 27.0 , 35.0 , 27.0 , 17.0 , 27.0 
HD14PMXSTG2,HD14-PMX-STG2,ROCKFORD,2014+ RG/SG PMX Stage 2 Audio Kit,780687361853,"$2,399.99","$1,500.00", 1 , 23.6 , 18.3 , 9.5 , 28.0 , 23.6 , 18.3 , 9.5 , 28.0 
HD14PMXSTG3,HD14-PMX-STG3,ROCKFORD,2014+ RG/SG PMX Stage 3 Audio Kit,780687361860,"$3,099.99","$1,900.00", 1 , 33.2 , 22.8 , 21.0 , 15.3 , 33.2 , 22.8 , 21.0 , 15.3 
HD14PMXSTG5,HD14-PMX-STG5,ROCKFORD,2014+ RG/SG PMX Stage 5 Audio Kit,780687361877,"$5,399.99","$3,280.00", 1 , 84.8 , 31.0 , 21.8 , 32.0 , 84.8 , 31.0 , 21.8 , 32.0 
HD14STG2,HD14-STG2,ROCKFORD,2014+ RG/SG Stage 2 Audio Kit,780687362485,"$1,449.99",$858.00, 1 , 16.6 , 18.0 , 9.5 , 16.5 , 16.6 , 18.0 , 9.5 , 16.5 
HD14STG3,HD14-STG3,ROCKFORD,2014+ RG/SG Stage 3 Audio Kit,780687362492,"$2,099.99","$1,250.00", 1 , 27.0 , 22.5 , 21.3 , 15.3 , 27.0 , 22.5 , 21.3 , 15.3 
HD14STG5,HD14-STG5,ROCKFORD,2014+ RG/SG Stage 5 Audio Kit,780687362508,"$4,399.99","$2,640.00", 1 , 78.0 , 31.3 , 21.8 , 32.0 , 78.0 , 31.3 , 21.8 , 32.0 
HD14CVOSTG2,HD14CVO-STG2,ROCKFORD,"2014+ RG/SG CVO Stage 2 Audio Kit	",780687362515,"$1,849.99","$1,110.00", 1 , 19.6 , 18.0 , 13.0 , 14.5 , 19.6 , 18.0 , 13.0 , 14.5 
HD14USTG2,HD14U-STG2,ROCKFORD,2014+ RG/SG Ultra Stage 2 Audio Kit,780687362539,"$1,849.99","$1,110.00", 1 , 23.0 , 18.3 , 17.3 , 13.8 , 23.0 , 18.3 , 17.3 , 13.8 
HD9813RGSTG2,HD9813RG-STG2,ROCKFORD,1998-2013 RG Stage 2 Audio Kit,780687362560,"$1,399.99",$831.00, 1 , 15.8 , 17.5 , 13.0 , 16.0 , -   , 17.5 , 13.0 , 16.0 
HD9813RGSTG3,HD9813RG-STG3,ROCKFORD,1998-2013 RG Stage 3 Audio Kit,780687362577,"$2,049.99","$1,230.00", 1 , 24.6 , 11.5 , 23.0 , 21.3 , 24.6 , 11.5 , 23.0 , 21.3 
HD9813RGPMXSTG2,HD9813RG-PMX-STG2,ROCKFORD,1998-2013 RG PMX Stage 2 Audio Kit,780687362010,"$2,049.99","$1,250.00", 1 , 20.6 , 17.3 , 12.8 , 14.8 , 20.6 , 17.3 , 12.8 , 14.8 
HD9813SGSTG2,HD9813SG-STG2,ROCKFORD,1998-2013 SG Stage 2 Audio Kit,780687362584,"$1,399.99",$831.00, 1 , 16.0 , 17.0 , 14.0 , 15.0 , 16.0 , 17.0 , 14.0 , 15.0 
HD9813SGSTG3,HD9813SG-STG3,ROCKFORD,1998-2013 SG Stage 3 Audio Kit,780687362591,"$2,049.99","$1,230.00", 1 , 24.9 , 22.8 , 11.5 , 21.3 , 24.9 , 22.8 , 11.5 , 21.3 
HD9813SGPMXSTG2,HD9813SG-PMX-STG2,ROCKFORD,1998-2013 SG PMX Stage 2 Audio Kit,780687362041,"$2,049.99","$1,250.00", 1 , 19.9 , 16.5 , 12.8 , 13.5 , 19.9 , 16.5 , 12.8 , 13.5 
HD9813RKSTAGE2,HD9813RK-STAGE2,ROCKFORD,1998-2013 Road King Stage 2 Audio Kit,780687356118,"$1,489.99",$900.00, 1 , 18.5 , 28.3 , 6.8 , 22.5 , 18.5 , 28.3 , 6.8 , 22.5 
PMXHD9813,PMX-HD9813,ROCKFORD,"1998-2013 Harley Davidson specific media receiver with 3” wet bonded IPX6 color display, Bluetooth, SiriusXM ready, Pandora, AUX RCA and Apple MFi USB inputs, AM/FM 50Wx4 2ohm stable internal amplifier, F+R+S RCA outputs",780687356286,$659.99,$418.00, 6 , 29.8 , 27.0 , 15.0 , 11.0 , 5.0 , 13.5 , 10.5 , 4.0 
PMXHD14,PMX-HD14,ROCKFORD,Punch Marine Grade Media Receiver for 2014+ Harley Davidson Motorcycles,780687356316,$999.99,$644.00, 2 , 8.8 , 15.5 , 10.3 , 14.3 , 4.4 , 12.0 , 11.5 , 7.0 
HD14SBSUB,HD14-SBSUB,ROCKFORD,"Dual 10"" saddlebag subwoofer kit for select 2014+ Harley-Davidson® motorcycles",780687359669,"$2,499.99","$1,490.00", 1 , 46.8 , 30.3 , 20.0 , 15.3 , 46.8 , 30.3 , 20.0 , 15.3 
HD24BL69,HD24BL69,ROCKFORD,"6x9"" Saddlebag Cut-In Speaker Kit for 2024+ Harley-Davidson",780687367527,$849.99,$510.00, 3 , 49.0 , 24.0 , 24.0 , 25.0 , 15.0 , 24.0 , 24.0 , 8.0 
TMS2465,TMS24-65,ROCKFORD,6.5” 2-Way Element Ready Speakers for 2024+ Harley-Davidson (Gen-2),780687367466,$599.99,$360.00, 6 , 44.0 , 23.0 , 22.0 , 20.0 , 7.0 , 21.0 , 9.0 , 8.0 
TMS2469,TMS24-69,ROCKFORD,6x9” 2-Way Element Ready Speakers for 2024+ Harley-Davidson (Gen-2),780687370312,$499.99,$300.00, 6 , 45.0 , 21.0 , 18.0 , 24.0 , 7.0 , 17.0 , 11.0 , 7.0 
TMS1465,TMS14-65,ROCKFORD,6.5” 2-Way Element Ready Speakers for 2014+ Harley-Davidson (Gen-2),780687367459,$499.99,$300.00, 6 , 45.0 , 27.0 , 19.0 , 19.0 , 7.0 , 18.0 , 9.0 , 9.0 
TMS69BL14,TMS69BL14,ROCKFORD,"6x9” full range coaxial with bag lid adapters for 2014+ models, 100 watts RMS, 200 watts peak, grilles included",780687352998,$709.99,$432.00, 3 , 29.8 , 23.0 , 18.3 , 21.3 , 9.9 , 22.3 , 21.5 , 6.0 
TMS69BL9813,TMS69BL9813,ROCKFORD,"6x9” full range coaxial with bag lid adapters for 1998-2013 models, 100 watts RMS, 200 watts peak, grilles included",780687353001,$709.99,$432.00, 3 , 29.2 , 22.5 , 18.5 , 21.5 , 9.7 , 22.0 , 6.0 , 20.0 
TMS5,TMS5,ROCKFORD,"5.25” full range coaxial for 1998-2013 motorcycles
65 watts RMS, 130 watts peak, grilles included",780687345259,$439.99,$261.00, 6 , 27.0 , 27.0 , 17.0 , 9.3 , 4.5 , 17.5 , 8.5 , 8.5 
TMS6RG,TMS6RG,ROCKFORD,"6” full range coaxial for 1998-2013 Road Glide
75 watts RMS, 150 watts peak, grilles included",780687345266,$439.99,$261.00, 6 , 32.0 , 30.3 , 17.0 , 11.0 , 5.3 , 16.5 , 10.0 , 5.0 
TMS6SG,TMS6SG,ROCKFORD,"6” full range coaxial for 1998-2013 Street Glide
75 watts RMS, 150 watts peak, grilles included",780687345273,$439.99,$261.00, 6 , 28.8 , 31.0 , 16.5 , 8.5 , 4.8 , 16.0 , 8.0 , 5.0 
TMS65,TMS65,ROCKFORD,"6.5” full range coaxial for 2014+ Road Glide & Street Glide
75 watts RMS, 150 watts peak, grilles included",780687351465,$439.99,$261.00, 6 , 41.0 , 27.0 , 18.0 , 18.0 , 6.8 , 17.6 , 8.6 , 8.5 
TMS57,TMS57,ROCKFORD,"5x7” full range coaxial for 1998+ Harley models using a 5x7” speaker, 100 watts RMS, 200 watts peak",780687353018,$439.99,$261.00, 6 , 19.4 , 23.3 , 15.0 , 10.5 , 3.2 , 14.0 , 10.0 , 3.5 
TMS69,TMS69,ROCKFORD,"6x9” full range coaxial, bag lid speaker
100 watts RMS, 200 watts peak",780687353506,$439.99,$261.00, 6 , 23.0 , 27.5 , 18.0 , 12.0 , 3.8 , 15.2 , 10.8 , 4.6 
RFKHD14M5,RFK-HD14M5,ROCKFORD,Complete amp install kit for select 2014+ Harley Davidson® motorcycles,780687360375,$369.99,$225.00, 10 , 47.0 , 24.3 , 13.5 , 11.8 , 4.7 , 13.5 , 11.0 , 2.5 
RFKHD9813M5,RFK-HD9813M5,ROCKFORD,Complete amp install kit for select 1998-2013 Harley Davidson® motorcycles,780687360399,$329.99,$198.00, 10 , 49.8 , 23.8 , 15.5 , 10.3 , 5.0 , 13.5 , 11.0 , 2.0 
