Make;Model;Class;Category;Description;On Hand;Availble;On Order;Committed;Defective;Sold this Year;Barcode SKU;Cost;Retail
IBEAM;TEGTGC;SAFETY;CAM;Chevy/GMC Tailgate Handle Camera;2;2;0;0;0;6;086429319541;$169.90;$244.99
IBEAM;TEGMTC;SAFETY;CAM;Chevy GMC Factory Replace Tailgate Handl;2;2;0;0;0;;086429339525;$180.74;$244.99
IBEAM;TEGMSH;SAFETY;CAM;Chevrolet Silverado/GMC Sierra Tailgate;0;0;0;0;0;;086429366996;$135.94;$214.99
IBEAM;TEFTGC;SAFETY;CAM;Ford Factory Replacement Tailgate Handle;2;2;0;0;0;7;086429319527;$154.94;$234.99
IBEAM;TEFDRH;SAFETY;CAM;Ford Ranger Tailgate Handle Camera;0;0;0;0;0;;086429367023;$105.00;$229.99
IBEAM;TEFDH;SAFETY;CAM;Ford Factory Replacement Tailgate Handle;1;1;0;0;0;;086429339488;$188.38;$239.99
IBEAM;TEFDFTG;SAFETY;CAM;Tailgate Camera Ford F150/F250 1997-2007;1;1;0;0;0;-1;086429376926;$160.29;$229.99
IBEAM;TEDVR1080;SAFETY;DASH CAM;1080P Dash Camera w/ Motion Detection;2;2;0;0;0;4;086429403790;$67.48;$124.99
IBEAM;TEDGH;SAFETY;CAM;Ram Factory Replacement Tailgate Handle;2;1;0;1;0;6;086429339501;$170.86;$239.99
IBEAM;TECAMFLTR;HARNESS;CAM;Pulse Width Modulation Stabilizer;1;1;0;0;0;1;086429403950;$5.00;$17.99
IBEAM;TEBSC;SAFETY;CAM;Ibeam Rearview Backup Camera;0;0;0;0;0;10;;$33.66;$89.99
IBEAM;TEB4PSK;SAFETY;SENSOR;Parking Sensors - Rear Parking Assist Ki;0;0;0;0;0;;086429270132;$49.23;$89.99
IBEAM;TE8PSK;SAFETY;CAM;Front and Rear Parking Assist Kit;1;1;0;0;0;1;086429255504;$108.51;$149.99
IBEAM;TE50VS;SAFETY;SCREEN;5 inch Color Video Screen - 2 Inputs;1;1;0;0;0;4;086429303175;$70.12;$99.99
IBEAM;TE4PSK;SAFETY;SENSOR;Parking Sensors - Rear Parking Assist Ki;1;1;0;0;0;1;086429255498;$75.13;$124.99
IBEAM;TE360;SAFETY;CAM;Ibeam 360 Degree Camera View;0;0;0;0;0;;;$233.20;$419.99
